epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0146,0.78023,1.41942,2.32505,0.95928,0,0.00703,1,0.6639,0.30128,0.00667,0.94872,0.64115,0.43589,1.13159,2.89542,2.74313,1.44662,0,0.000648148,0.000648148,0.000648148
2,37.9749,0.88433,1.15454,1.63452,0.99974,0,0.26013,0.33333,0.15436,0.03408,0.34942,0.38462,0.20733,0.09625,1.81492,20.5319,3.24502,2.07004,0,0.00131449,0.00131449,0.00131449
3,47.6603,0.93697,1.20602,1.4594,1.04218,0,0.30569,0.5641,0.41923,0.20045,0.43484,0.34615,0.39104,0.24591,1.37238,4.47687,2.32808,1.50562,0,0.00197955,0.00197955,0.00197955
4,57.1991,0.91934,1.07353,1.28855,1.01303,0,0.44273,0.64103,0.50593,0.22827,0.42727,0.60256,0.40215,0.20761,1.86528,5.6741,2.26005,1.81551,0,0.00199561,0.00199561,0.00199561
5,66.8886,0.88911,1.08338,1.19403,1.01002,0,0.67006,0.72906,0.77205,0.28039,0.73854,0.7967,0.83336,0.53684,1.66874,3.11948,1.92293,1.79918,0,0.00199219,0.00199219,0.00199219
6,76.3871,0.86209,1.00728,1.05756,1.01749,0,0.96748,0.38151,0.57344,0.32188,0.96748,0.38151,0.54738,0.36215,1.25764,2.52878,2.68725,1.2971,0,0.00198781,0.00198781,0.00198781
7,86.069,0.82635,0.9109,0.96965,0.97599,0,0.58349,0.71841,0.71748,0.39563,0.69921,0.70513,0.71688,0.45558,1.86064,5.25866,2.92077,1.92819,0,0.00198246,0.00198246,0.00198246
8,95.6981,0.79269,0.89968,0.86589,0.96965,0,0.8032,0.73256,0.77416,0.3779,0.83111,0.75706,0.79618,0.53389,1.49496,2.89623,2.17339,1.48313,0,0.00197616,0.00197616,0.00197616
9,105.124,0.78262,1.02935,0.84475,0.95624,0,0.52195,0.78205,0.6054,0.35232,0.52195,0.78205,0.61147,0.40296,1.32048,2.33052,1.69883,1.23674,0,0.0019689,0.0019689,0.0019689
10,114.666,0.72207,0.94647,0.78417,0.93664,0,0.19806,0.5,0.25051,0.11537,0.40845,0.39744,0.32249,0.18992,1.47303,2.20925,2.06365,1.36911,0,0.00196069,0.00196069,0.00196069
11,124.182,0.74672,1.00581,0.78454,0.95344,0,0.92523,0.79487,0.89962,0.49649,0.8975,0.74359,0.81283,0.65852,1.20905,3.86639,1.26179,1.18122,0,0.00195155,0.00195155,0.00195155
12,133.733,0.76156,0.91002,0.76029,0.94292,0,0.94958,0.72449,0.87391,0.53345,0.95363,0.74359,0.88853,0.73694,1.20484,1.90236,1.12507,1.15685,0,0.00194147,0.00194147,0.00194147
13,143.226,0.71213,0.83416,0.70297,0.93119,0,0.85072,0.79487,0.8586,0.58392,0.82692,0.79631,0.84911,0.65656,0.942,1.98668,1.12471,1.05291,0,0.00193048,0.00193048,0.00193048
14,152.716,0.69815,0.81688,0.70561,0.9406,0,0.88352,0.80769,0.89396,0.53439,0.86639,0.79487,0.86218,0.66538,0.99619,1.3466,0.88885,1.06124,0,0.00191858,0.00191858,0.00191858
15,162.348,0.67534,0.85869,0.69356,0.91966,0,0.91021,0.77979,0.85762,0.53823,0.88028,0.75415,0.81072,0.6608,1.05489,1.43987,1.04739,1.08674,0,0.00190578,0.00190578,0.00190578
16,171.811,0.67422,0.83897,0.65372,0.92476,0,0.91687,0.88462,0.94557,0.63182,0.93028,0.85531,0.92567,0.792,0.87091,1.61294,0.79875,1.03808,0,0.0018921,0.0018921,0.0018921
17,185.407,0.64515,0.82211,0.65152,0.9252,0,0.8762,0.72596,0.86946,0.55634,0.95935,0.74359,0.89235,0.73576,0.90176,1.05726,0.82153,1.02972,0,0.00187754,0.00187754,0.00187754
18,200.715,0.674,0.80343,0.66747,0.92955,0,0.93095,0.69144,0.82675,0.55581,0.88913,0.71975,0.84873,0.63781,0.91213,1.60258,0.90839,1.10418,0,0.00186213,0.00186213,0.00186213
19,211.721,0.62564,0.77174,0.61804,0.90632,0,0.86604,0.87179,0.93683,0.68863,0.86641,0.85897,0.90735,0.74179,0.9138,1.03709,0.80921,1.04766,0,0.00184588,0.00184588,0.00184588
20,223.455,0.64495,0.75264,0.633,0.91362,0,0.91663,0.87179,0.92677,0.67461,0.90315,0.85897,0.88269,0.71624,0.75183,0.85166,0.77739,0.97844,0,0.00182881,0.00182881,0.00182881
21,234.448,0.61686,0.72596,0.60718,0.90001,0,0.95736,0.84615,0.95534,0.71255,0.92153,0.9034,0.95339,0.78053,0.79372,1.13526,0.67689,1.05206,0,0.00181093,0.00181093,0.00181093
22,245.639,0.60666,0.74431,0.61139,0.90718,0,0.92762,0.82154,0.91945,0.60346,0.88422,0.78328,0.85841,0.69018,1.17196,2.18104,1.19505,1.37683,0,0.00179225,0.00179225,0.00179225
23,256.487,0.59569,0.71776,0.57108,0.8959,0,0.93589,0.88462,0.94972,0.70286,0.89265,0.85288,0.89096,0.67957,0.82371,1.72024,0.86407,1.04054,0,0.00177281,0.00177281,0.00177281
24,267.497,0.58589,0.66318,0.57036,0.89813,0,0.91043,0.78185,0.908,0.64587,0.91043,0.78185,0.90746,0.70461,1.1551,1.27194,0.86369,1.31778,0,0.00175261,0.00175261,0.00175261
25,278.54,0.57157,0.75825,0.54992,0.89217,0,0.89491,0.87345,0.91817,0.67357,0.88178,0.86063,0.878,0.70657,0.85418,1.37663,0.85357,1.01044,0,0.00173168,0.00173168,0.00173168
26,289.506,0.5613,0.68434,0.56434,0.8897,0,0.9867,0.80769,0.93767,0.69954,0.94546,0.78205,0.91143,0.77643,0.71485,1.29027,0.72452,0.93353,0,0.00171004,0.00171004,0.00171004
27,300.279,0.58596,0.73779,0.56586,0.88952,0,0.91954,0.87913,0.92275,0.71698,0.91954,0.87913,0.9092,0.71182,0.74736,1.71832,0.77088,0.98144,0,0.0016877,0.0016877,0.0016877
28,311.111,0.56559,0.72946,0.55532,0.88066,0,0.85804,0.85246,0.90804,0.71661,0.87439,0.89744,0.9258,0.76623,0.83821,1.23833,0.63227,1.08308,0,0.0016647,0.0016647,0.0016647
29,322.238,0.53592,0.6373,0.53085,0.88165,0,0.94625,0.76923,0.90112,0.70077,0.9419,0.76923,0.9077,0.75844,0.68791,1.06116,0.71825,0.94307,0,0.00164105,0.00164105,0.00164105
30,333.214,0.54026,0.70788,0.53445,0.89488,0,0.96367,0.84615,0.95468,0.68666,0.97849,0.85897,0.94396,0.8267,0.73867,1.04508,0.70401,0.96277,0,0.00161678,0.00161678,0.00161678
31,344.479,0.52376,0.64848,0.53295,0.87879,0,0.87431,0.79487,0.87762,0.66676,0.91351,0.82051,0.87905,0.75853,1.0574,1.93423,1.36693,1.25739,0,0.00159191,0.00159191,0.00159191
32,355.482,0.52868,0.67833,0.53272,0.88027,0,0.84409,0.83333,0.90951,0.69622,0.88083,0.85293,0.90821,0.77901,0.70022,1.33198,1.02861,0.90461,0,0.00156646,0.00156646,0.00156646
